antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'CROISSANT'}),frozenset({'TRADITIONAL BAGUETTE'}),0.09922069366065933,0.5854332995258281,0.04271014831959362,0.4304560545168618,0.735277707751694,-0.01537694975140759,0.7278923843576273,-0.2855548812769828
frozenset({'MOISSON'}),frozenset({'TRADITIONAL BAGUETTE'}),0.026829289435588034,0.5854332995258281,0.01007290285109961,0.3754442649434572,0.6413100608515921,-0.005633856587110136,0.6637785504229498,-0.36496956654645313
frozenset({'PAIN AU CHOCOLAT'}),frozenset({'TRADITIONAL BAGUETTE'}),0.09127159562756265,0.5854332995258281,0.03645142554980539,0.3993731598442397,0.6821838801580165,-0.016982005831425756,0.6902234012164067,-0.3389185481371917
frozenset({'SPECIAL BREAD'}),frozenset({'TRADITIONAL BAGUETTE'}),0.044920639048535445,0.5854332995258281,0.01167659220346917,0.2599382477807796,0.4440100144479596,-0.01462144573152369,0.5601785246042135,-0.5673050050501156
frozenset({'VIK BREAD'}),frozenset({'TRADITIONAL BAGUETTE'}),0.02709801575949861,0.5854332995258281,0.013861077159129327,0.5115163147792706,0.8737396987728122,-0.002003003617556832,0.8486807502830788,-0.12932221310631703
"frozenset({'VIK BREAD', 'TRADITIONAL BAGUETTE'})",frozenset({'COUPE'}),0.013861077159129327,0.16837871340770985,0.010133582988756837,0.7310819262038774,4.3418904409469254,0.007799672650257647,3.0924707843280737,0.7805042040692575
"frozenset({'VIK BREAD', 'COUPE'})",frozenset({'TRADITIONAL BAGUETTE'}),0.019885747969382535,0.5854332995258281,0.010133582988756837,0.509590235396687,0.8704496922355285,-0.0015081960584978158,0.8453475652335558,-0.13183226403389658
frozenset({'VIK BREAD'}),"frozenset({'TRADITIONAL BAGUETTE', 'COUPE'})",0.02709801575949861,0.05301710313022824,0.010133582988756837,0.37396033269353807,7.05357913982895,0.00869692469261095,1.512656379976958,0.8821320307639056
"frozenset({'TRADITIONAL BAGUETTE', 'CROISSANT'})",frozenset({'PAIN AU CHOCOLAT'}),0.04271014831959362,0.09127159562756265,0.019660364600941407,0.4603206819565658,5.043416615996531,0.015762141214322234,1.683830330328318,0.8374910827996588
"frozenset({'TRADITIONAL BAGUETTE', 'PAIN AU CHOCOLAT'})",frozenset({'CROISSANT'}),0.03645142554980539,0.09922069366065933,0.019660364600941407,0.5393579072532698,5.435941710888516,0.016043628872969836,1.9554863103546343,0.8469103227741392
"frozenset({'PAIN AU CHOCOLAT', 'CROISSANT'})",frozenset({'TRADITIONAL BAGUETTE'}),0.04675838036044002,0.5854332995258281,0.019660364600941407,0.4204671857619577,0.7182153562199404,-0.007713548293954674,0.7153463795130145,-0.29157653818447804
frozenset({'PAIN AU CHOCOLAT'}),"frozenset({'TRADITIONAL BAGUETTE', 'CROISSANT'})",0.09127159562756265,0.04271014831959362,0.019660364600941407,0.21540507170671477,5.043416615996531,0.015762141214322234,1.2201071115292335,0.882245685927043
